Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD10000,17-06-2024,21-06-2024,CUST4425,Daniel Johnson,Corporate,PROD73280,Monitor,Electronics,East,Massachusetts,South Jennafurt,5,3480,5,16530,12374.96,4155.04,Net Banking,Cancelled,"Moody, Barr and Barnett",patriciawatkins@jennings.com,24,No,0
ORD10001,27-09-2024,30-09-2024,CUST1024,Ivan Spencer,Home Office,PROD94038,Cooking Oil,Glocery,South,Kansas,South Richard,1,2603,5,2472.85,1618.69,854.16,Net Banking,Delivered,Thomas-Lopez,tjohnson@watts.com,11,No,0
ORD10002,23-07-2025,29-07-2025,CUST1402,Kenneth Walters,Corporate,PROD39590,Notebook,Office Supplies,South,West Virginia,Anthonyside,10,3416,5,32452,21781.6,10670.4,Cash,Pending,Bailey-Garrison,davidjulie@reyes.com,25,No,0
ORD10003,14-03-2025,20-03-2025,CUST6302,Erin Valenzuela,Home Office,PROD15828,Pen,Office Supplies,East,Idaho,Justinfort,9,1973,10,15981.3,13679.6,2301.7,UPI,returned,Barker-Cohen,stevennunez@smith.info,10,No,0
ORD10004,30-05-2025,05-06-2025,CUST7744,Richard Young,Consumer,PROD45533,Bookshelf,Furniture,South,North Dakota,Murphyshire,1,375,10,337.5,226.25,111.25,Credit Card,Delivered,Lamb and Sons,christopher95@morgan-kelly.com,49,No,0
ORD10005,12-10-2024,18-10-2024,CUST7743,Tyrone Jones,Corporate,PROD23977,Laptop,Electronics,East,Alabama,Fergusonland,5,2548,15,10829,8985.92,1843.08,UPI,Delivered,"Perez, Holloway and Adams",johnsonstephanie@rogers-caldwell.org,31,No,0
ORD10006,18-07-2025,23-07-2025,CUST6149,Pamela Robinson,Corporate,PROD12340,Study Table,Furniture,South,Ohio,New Lori,3,308,5,877.8,581.95,295.85,Cash,Cancelled,Lopez and Sons,ruben20@bell.com,34,No,0
ORD10007,17-02-2024,18-02-2024,CUST8516,Dr. Timothy Butler,Corporate,PROD76950,Notebook,Office Supplies,North,Alaska,East Maria,7,471,5,3132.15,2209.57,922.58,UPI,Cancelled,Taylor-Webb,perezjamie@wade.com,17,No,0
ORD10008,14-07-2025,20-07-2025,CUST4333,Tara Gonzalez,Consumer,PROD86534,Rice Bag,Glocery,South,Montana,Port Jessica,8,3886,20,24870.4,15786.72,9083.68,Net Banking,Cancelled,Ward PLC,matthewsjoshua@golden-hernandez.com,37,No,0
ORD10009,04-02-2024,11-02-2024,CUST6246,Crystal Kim,Home Office,PROD40499,Notebook,Office Supplies,South,Alaska,Maryside,6,463,15,2361.3,2017.04,344.26,Credit Card,Pending,Hernandez LLC,jordan77@hodges.com,3,Yes,30
ORD10010,06-09-2025,12-09-2025,CUST1679,Tammy Osborn,Home Office,PROD76345,Stapler,Office Supplies,South,Alabama,Micheleborough,9,3436,0,30924,19108.69,11815.31,Cash,Pending,"Thompson, Fleming and Vega",dananelson@edwards.com,28,No,0
ORD10011,16-12-2024,18-12-2024,CUST2690,Barbara Ray,Consumer,PROD51530,Calculator,Office Supplies,East,Oklahoma,Port Meghanport,4,2562,5,9735.6,6381.09,3354.51,Cash,Pending,Flynn Inc,alexis40@vasquez.com,0,Yes,22
ORD10012,30-05-2024,05-06-2024,CUST1840,Michael Summers,Home Office,PROD34463,Laptop,Electronics,North,Utah,Nicolestad,5,2581,10,11614.5,9528.94,2085.56,Net Banking,Cancelled,Sanchez and Sons,colemandonald@jones.com,21,No,0
ORD10013,14-01-2024,17-01-2024,CUST7802,Michael Clark,Consumer,PROD93572,Office Chair,Furniture,South,Oklahoma,Crystalport,5,1456,15,6188,5437.35,750.65,Credit Card,Cancelled,Price PLC,davisnicole@mcdaniel-walker.com,48,No,0
ORD10014,20-09-2024,23-09-2024,CUST4810,Dr. Wesley Pittman DDS,Consumer,PROD30011,Juice Pack,Glocery,North,Illinois,Gonzalesshire,5,317,5,1505.75,1146.08,359.67,UPI,returned,"Johnson, Johnson and Gray",jorge61@pugh-cohen.com,49,No,0
ORD10015,18-03-2025,20-03-2025,CUST2682,James Brock,Home Office,PROD17159,Calculator,Office Supplies,South,Michigan,Burtonmouth,1,1325,0,1325,993.1,331.9,Net Banking,Cancelled,Meyer-Dyer,wernerjessica@wright-christian.com,22,No,0
ORD10016,02-11-2024,04-11-2024,CUST8925,Christina Bentley,Home Office,PROD53594,Laptop,Electronics,East,New Mexico,North William,5,3766,10,16947,11964.56,4982.44,UPI,Cancelled,Garcia and Sons,adamslisa@walters.com,2,Yes,34
